时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),电量(),信号(),版本号()
 11:30:24.801,WT5500002557_UDP, 2024-7-22 10:55:21.697, 0.009, 0.021, 0.997, 0.000, 0.000, 0.000, 1.236, -0.472, -115.428, -32.129, -16.016, -44.531, 35.9, 3.71, -68, 13011,
 11:30:24.817,WT5500002564_UDP, 2024-7-22 10:51:25.28, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.366, -14.551, 24.609, -23.828, 37.6, 3.66, -72, 13011,
 11:30:24.915,WT5500002564_UDP, 2024-7-22 10:51:25.128, 0.003, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.344, -14.551, 24.316, -24.121, 37.5, 3.66, -72, 13011,
 11:30:24.999,WT5500002557_UDP, 2024-7-22 10:55:21.897, 0.009, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.428, -32.031, -16.016, -44.629, 35.9, 3.71, -68, 13011,
 11:30:25.016,WT5500002564_UDP, 2024-7-22 10:51:25.228, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.350, -14.551, 24.316, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.099,WT5500002557_UDP, 2024-7-22 10:55:21.997, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.236, -0.472, -115.433, -32.031, -16.016, -44.531, 35.9, 3.71, -72, 13011,
 11:30:25.116,WT5500002564_UDP, 2024-7-22 10:51:25.328, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.350, -14.453, 24.414, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.200,WT5500002557_UDP, 2024-7-22 10:55:22.97, 0.008, 0.022, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.439, -32.031, -16.113, -44.531, 35.9, 3.71, -72, 13011,
 11:30:25.216,WT5500002564_UDP, 2024-7-22 10:51:25.428, 0.004, 0.013, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.350, -14.551, 24.316, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.299,WT5500002557_UDP, 2024-7-22 10:55:22.197, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.455, -32.031, -16.309, -44.531, 35.9, 3.71, -72, 13011,
 11:30:25.316,WT5500002564_UDP, 2024-7-22 10:51:25.528, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.355, -14.551, 24.316, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.402,WT5500002557_UDP, 2024-7-22 10:55:22.297, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.466, -32.129, -16.113, -44.629, 35.9, 3.71, -72, 13011,
